"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 14:30:12 GMT 2023","Thu Jun 01 14:30:27 GMT 2023","14934","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Thu Jun 01 14:30:28 GMT 2023","Thu Jun 01 14:30:28 GMT 2023","612","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Thu Jun 01 14:30:13 GMT 2023","Thu Jun 01 14:30:33 GMT 2023","20184","","Home Page","","ui.home.BaseTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Thu Jun 01 14:30:28 GMT 2023","Thu Jun 01 14:30:30 GMT 2023","1879","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"passed","Thu Jun 01 14:30:25 GMT 2023","Thu Jun 01 14:30:27 GMT 2023","2015","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Thu Jun 01 14:30:27 GMT 2023","Thu Jun 01 14:30:28 GMT 2023","328","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Thu Jun 01 14:30:13 GMT 2023","Thu Jun 01 14:30:33 GMT 2023","20377","","Home Page","","ui.home.BaseTests","addQuantityInCart","Add few item to cart",""
"failed","Thu Jun 01 14:30:13 GMT 2023","Thu Jun 01 14:30:33 GMT 2023","19885","","Home Page","","ui.home.BaseTests","findPriceByText","Verify MacBook Pro has proper price",""
