"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Apr 11 13:53:50 GMT 2023","Tue Apr 11 13:53:50 GMT 2023","7","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4248","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4261","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4243","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4248","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4241","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4234","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4246","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:54:02 GMT 2023","18199","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:54:04 GMT 2023","19542","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4249","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4229","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4241","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4250","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:54:02 GMT 2023","18067","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4248","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"failed","Tue Apr 11 13:53:44 GMT 2023","Tue Apr 11 13:53:48 GMT 2023","4242","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
