"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4691","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4607","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4682","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4682","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4680","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4639","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"broken","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:53 GMT 2023","22967","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"broken","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:52 GMT 2023","22749","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4646","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4629","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4683","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"broken","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:52 GMT 2023","22724","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4682","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4666","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4684","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"failed","Tue Apr 11 13:44:30 GMT 2023","Tue Apr 11 13:44:34 GMT 2023","4628","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"skipped","Tue Apr 11 13:44:36 GMT 2023","Tue Apr 11 13:44:36 GMT 2023","0","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
