"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8108","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8549","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8142","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:22:05 GMT 2023","19572","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8152","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8096","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"passed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:22:07 GMT 2023","20821","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8107","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8119","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"failed","Wed Apr 12 09:21:53 GMT 2023","Wed Apr 12 09:21:55 GMT 2023","2536","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:22:05 GMT 2023","19684","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8142","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8155","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:55 GMT 2023","9017","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:58 GMT 2023","11810","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8082","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"failed","Wed Apr 12 09:21:46 GMT 2023","Wed Apr 12 09:21:54 GMT 2023","8158","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
