"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 09:29:36 GMT 2023","Thu Apr 13 09:29:36 GMT 2023","550","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Thu Apr 13 09:29:37 GMT 2023","Thu Apr 13 09:29:40 GMT 2023","2828","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"passed","Thu Apr 13 09:29:22 GMT 2023","Thu Apr 13 09:29:46 GMT 2023","23742","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Thu Apr 13 09:29:22 GMT 2023","Thu Apr 13 09:29:47 GMT 2023","25164","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"passed","Thu Apr 13 09:29:36 GMT 2023","Thu Apr 13 09:29:37 GMT 2023","771","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Thu Apr 13 09:29:22 GMT 2023","Thu Apr 13 09:29:46 GMT 2023","23817","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Thu Apr 13 09:29:22 GMT 2023","Thu Apr 13 09:29:36 GMT 2023","13692","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Thu Apr 13 09:29:31 GMT 2023","Thu Apr 13 09:29:35 GMT 2023","3517","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
