"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 30 19:00:47 GMT 2023","Tue May 30 19:00:48 GMT 2023","410","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Tue May 30 19:00:47 GMT 2023","Tue May 30 19:00:47 GMT 2023","296","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Tue May 30 19:00:33 GMT 2023","Tue May 30 19:00:56 GMT 2023","23215","","Home Page","","ui.home.BaseTests","addQuantityInCart","Add few item to cart",""
"failed","Tue May 30 19:00:48 GMT 2023","Tue May 30 19:00:49 GMT 2023","1834","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"failed","Tue May 30 19:00:33 GMT 2023","Tue May 30 19:00:53 GMT 2023","19657","","Home Page","","ui.home.BaseTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Tue May 30 19:00:33 GMT 2023","Tue May 30 19:00:47 GMT 2023","14174","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Tue May 30 19:00:44 GMT 2023","Tue May 30 19:00:46 GMT 2023","1997","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Tue May 30 19:00:33 GMT 2023","Tue May 30 19:00:54 GMT 2023","21351","","Home Page","","ui.home.BaseTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
