"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 12 09:55:16 GMT 2023","Wed Apr 12 09:55:38 GMT 2023","21968","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Wed Apr 12 09:55:16 GMT 2023","Wed Apr 12 09:55:39 GMT 2023","23326","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"passed","Wed Apr 12 09:55:16 GMT 2023","Wed Apr 12 09:55:38 GMT 2023","21786","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Wed Apr 12 09:55:16 GMT 2023","Wed Apr 12 09:55:24 GMT 2023","7738","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"failed","Wed Apr 12 09:55:16 GMT 2023","Wed Apr 12 09:55:23 GMT 2023","7340","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"broken","Wed Apr 12 09:55:16 GMT 2023","Wed Apr 12 09:55:23 GMT 2023","6878","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Wed Apr 12 09:55:16 GMT 2023","Wed Apr 12 09:55:29 GMT 2023","13193","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"passed","Wed Apr 12 09:55:22 GMT 2023","Wed Apr 12 09:55:24 GMT 2023","2268","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
