"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4591","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4580","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"skipped","Tue Apr 11 14:17:18 GMT 2023","Tue Apr 11 14:17:18 GMT 2023","0","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4564","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4589","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4575","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4591","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:32 GMT 2023","21587","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4537","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4541","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4591","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4599","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4529","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4587","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:15 GMT 2023","4522","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"failed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:33 GMT 2023","21759","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Tue Apr 11 14:17:11 GMT 2023","Tue Apr 11 14:17:32 GMT 2023","21317","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
