"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5367","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5362","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5330","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:33:03 GMT 2023","19339","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5365","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5365","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5373","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5377","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5364","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5363","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"skipped","Tue Apr 11 21:32:51 GMT 2023","Tue Apr 11 21:32:51 GMT 2023","0","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5371","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5366","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:33:04 GMT 2023","21012","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:33:04 GMT 2023","20773","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5379","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"failed","Tue Apr 11 21:32:43 GMT 2023","Tue Apr 11 21:32:49 GMT 2023","5297","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
