"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:26:55 GMT 2023","Wed Apr 12 10:27:13 GMT 2023","17478","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"broken","Wed Apr 12 10:26:55 GMT 2023","Wed Apr 12 10:26:55 GMT 2023","369","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"broken","Wed Apr 12 10:26:57 GMT 2023","Wed Apr 12 10:26:57 GMT 2023","0","","[Base Amadeus test]","","core.amadeus.AmadeusTests","","[Base Amadeus test]",""
"broken","Wed Apr 12 10:26:56 GMT 2023","Wed Apr 12 10:26:56 GMT 2023","29","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Wed Apr 12 10:26:55 GMT 2023","Wed Apr 12 10:27:14 GMT 2023","19170","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"broken","Wed Apr 12 10:26:56 GMT 2023","Wed Apr 12 10:26:56 GMT 2023","8","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"broken","Wed Apr 12 10:26:56 GMT 2023","Wed Apr 12 10:26:56 GMT 2023","21","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"failed","Wed Apr 12 10:26:55 GMT 2023","Wed Apr 12 10:27:13 GMT 2023","17605","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
