"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 10 14:38:18 GMT 2023","Sat Jun 10 14:38:18 GMT 2023","321","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Sat Jun 10 14:38:01 GMT 2023","Sat Jun 10 14:38:24 GMT 2023","23214","","Home Page","","ui.home.BaseTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Sat Jun 10 14:38:19 GMT 2023","Sat Jun 10 14:38:20 GMT 2023","1553","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"failed","Sat Jun 10 14:38:01 GMT 2023","Sat Jun 10 14:38:23 GMT 2023","21941","","Home Page","","ui.home.BaseTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Sat Jun 10 14:38:14 GMT 2023","Sat Jun 10 14:38:16 GMT 2023","2572","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Sat Jun 10 14:38:00 GMT 2023","Sat Jun 10 14:38:18 GMT 2023","17374","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Sat Jun 10 14:38:01 GMT 2023","Sat Jun 10 14:38:23 GMT 2023","22446","","Home Page","","ui.home.BaseTests","addQuantityInCart","Add few item to cart",""
"failed","Sat Jun 10 14:38:18 GMT 2023","Sat Jun 10 14:38:19 GMT 2023","429","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
