"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10341","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10132","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10120","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:58:08 GMT 2023","20652","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"skipped","Sun Apr 09 19:57:53 GMT 2023","Sun Apr 09 19:57:53 GMT 2023","4","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:58:06 GMT 2023","18808","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10650","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10255","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10072","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10231","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:59 GMT 2023","11063","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10311","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10238","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10112","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10115","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"passed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:57:58 GMT 2023","10309","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"failed","Sun Apr 09 19:57:48 GMT 2023","Sun Apr 09 19:58:07 GMT 2023","19111","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
