"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 11:25:56 GMT 2023","Tue Apr 18 11:26:01 GMT 2023","4899","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"passed","Tue Apr 18 11:25:54 GMT 2023","Tue Apr 18 11:25:54 GMT 2023","748","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Tue Apr 18 11:25:42 GMT 2023","Tue Apr 18 11:26:14 GMT 2023","32224","","Home Page","","ui.home.BaseTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Tue Apr 18 11:25:55 GMT 2023","Tue Apr 18 11:25:56 GMT 2023","1182","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Tue Apr 18 11:25:48 GMT 2023","Tue Apr 18 11:25:52 GMT 2023","3967","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Tue Apr 18 11:25:42 GMT 2023","Tue Apr 18 11:26:14 GMT 2023","31961","","Home Page","","ui.home.BaseTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Tue Apr 18 11:25:42 GMT 2023","Tue Apr 18 11:26:16 GMT 2023","34585","","Home Page","","ui.home.BaseTests","addQuantityInCart","Add few item to cart",""
"passed","Tue Apr 18 11:25:42 GMT 2023","Tue Apr 18 11:25:54 GMT 2023","12111","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
