"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:48 GMT 2023","20469","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9319","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9596","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9393","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9499","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"failed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:46 GMT 2023","18809","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9556","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9266","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9588","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:38 GMT 2023","10197","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"failed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:46 GMT 2023","18643","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9523","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"skipped","Sun Apr 09 20:13:33 GMT 2023","Sun Apr 09 20:13:33 GMT 2023","8","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9816","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9440","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9389","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"passed","Sun Apr 09 20:13:28 GMT 2023","Sun Apr 09 20:13:37 GMT 2023","9574","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
