"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9191","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:39 GMT 2023","9685","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:39 GMT 2023","9970","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9291","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9284","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9166","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9332","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"skipped","Sun Apr 09 19:49:34 GMT 2023","Sun Apr 09 19:49:34 GMT 2023","0","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9261","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
"failed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:47 GMT 2023","17694","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9185","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"failed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:47 GMT 2023","17830","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9326","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:46 GMT 2023","17288","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9245","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9236","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"passed","Sun Apr 09 19:49:29 GMT 2023","Sun Apr 09 19:49:38 GMT 2023","9322","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
