"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:45 GMT 2023","20587","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3131","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 8 of 10",""
"passed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:46 GMT 2023","21758","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"skipped","Tue Apr 11 14:04:28 GMT 2023","Tue Apr 11 14:04:28 GMT 2023","0","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3154","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 6 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3257","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 1 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:44 GMT 2023","20435","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3188","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 4 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3246","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3249","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3245","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 3 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3175","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 5 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3142","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 9 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3140","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 7 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3256","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 2 of 10",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3232","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Tue Apr 11 14:04:24 GMT 2023","Tue Apr 11 14:04:27 GMT 2023","3110","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet repetition 10 of 10",""
