"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 10:52:51 GMT 2023","Tue Apr 18 10:52:53 GMT 2023","2160","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Tue Apr 18 10:52:37 GMT 2023","Tue Apr 18 10:52:54 GMT 2023","16874","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Tue Apr 18 10:52:37 GMT 2023","Tue Apr 18 10:53:02 GMT 2023","24193","","Home Page","","ui.home.BaseTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Tue Apr 18 10:52:37 GMT 2023","Tue Apr 18 10:53:03 GMT 2023","25890","","Home Page","","ui.home.BaseTests","addQuantityInCart","Add few item to cart",""
"passed","Tue Apr 18 10:52:37 GMT 2023","Tue Apr 18 10:53:00 GMT 2023","22585","","Home Page","","ui.home.BaseTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Tue Apr 18 10:52:56 GMT 2023","Tue Apr 18 10:53:01 GMT 2023","5522","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"failed","Tue Apr 18 10:52:54 GMT 2023","Tue Apr 18 10:52:55 GMT 2023","596","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"failed","Tue Apr 18 10:52:55 GMT 2023","Tue Apr 18 10:52:56 GMT 2023","923","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
