"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 13:54:05 GMT 2023","Thu Jun 01 13:54:06 GMT 2023","681","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Thu Jun 01 13:54:02 GMT 2023","Thu Jun 01 13:54:04 GMT 2023","2248","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Thu Jun 01 13:53:50 GMT 2023","Thu Jun 01 13:54:05 GMT 2023","15083","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Thu Jun 01 13:54:06 GMT 2023","Thu Jun 01 13:54:07 GMT 2023","887","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"failed","Thu Jun 01 13:53:51 GMT 2023","Thu Jun 01 13:54:12 GMT 2023","21245","","Home Page","","ui.home.BaseTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"failed","Thu Jun 01 13:53:51 GMT 2023","Thu Jun 01 13:54:12 GMT 2023","21181","","Home Page","","ui.home.BaseTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Thu Jun 01 13:54:07 GMT 2023","Thu Jun 01 13:54:13 GMT 2023","5852","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"passed","Thu Jun 01 13:53:51 GMT 2023","Thu Jun 01 13:54:13 GMT 2023","22316","","Home Page","","ui.home.BaseTests","addQuantityInCart","Add few item to cart",""
