"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:17:27 GMT 2023","Wed Apr 12 10:17:44 GMT 2023","17405","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"passed","Wed Apr 12 10:17:36 GMT 2023","Wed Apr 12 10:17:38 GMT 2023","1984","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"passed","Wed Apr 12 10:17:35 GMT 2023","Wed Apr 12 10:17:36 GMT 2023","684","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Wed Apr 12 10:17:27 GMT 2023","Wed Apr 12 10:17:35 GMT 2023","7880","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"failed","Wed Apr 12 10:17:27 GMT 2023","Wed Apr 12 10:17:42 GMT 2023","14782","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Wed Apr 12 10:17:35 GMT 2023","Wed Apr 12 10:17:35 GMT 2023","474","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Wed Apr 12 10:17:33 GMT 2023","Wed Apr 12 10:17:35 GMT 2023","1751","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Wed Apr 12 10:17:27 GMT 2023","Wed Apr 12 10:17:42 GMT 2023","14793","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
