"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:35:28 GMT 2023","Wed Apr 12 10:35:30 GMT 2023","1912","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"failed","Wed Apr 12 10:35:22 GMT 2023","Wed Apr 12 10:35:39 GMT 2023","16093","","Home Page","","ui.home.HomePageTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"passed","Wed Apr 12 10:35:22 GMT 2023","Wed Apr 12 10:35:38 GMT 2023","15474","","Home Page","","ui.home.HomePageTests","findPriceByText","Verify MacBook Pro has proper price",""
"passed","Wed Apr 12 10:35:22 GMT 2023","Wed Apr 12 10:35:40 GMT 2023","17351","","Home Page","","ui.home.HomePageTests","addQuantityInCart","Add few item to cart",""
"passed","Wed Apr 12 10:35:32 GMT 2023","Wed Apr 12 10:35:36 GMT 2023","4630","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
"passed","Wed Apr 12 10:35:30 GMT 2023","Wed Apr 12 10:35:31 GMT 2023","776","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Wed Apr 12 10:35:31 GMT 2023","Wed Apr 12 10:35:32 GMT 2023","725","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Wed Apr 12 10:35:22 GMT 2023","Wed Apr 12 10:35:30 GMT 2023","7352","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
