"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 17 20:31:49 GMT 2023","Mon Apr 17 20:31:49 GMT 2023","456","","[Pet tests]","","core.pet.PetTests","verifyGetPet","Verify get new Pet",""
"passed","Mon Apr 17 20:31:43 GMT 2023","Mon Apr 17 20:31:47 GMT 2023","4673","","[Base Amadeus test]","","core.amadeus.AmadeusTests","verifyAddAmadeus","Verify flight destination",""
"passed","Mon Apr 17 20:31:35 GMT 2023","Mon Apr 17 20:32:04 GMT 2023","28770","","Home Page","","ui.home.BaseTests","addQuantityInCart","Add few item to cart",""
"passed","Mon Apr 17 20:31:35 GMT 2023","Mon Apr 17 20:31:48 GMT 2023","13622","","[Pet tests]","","core.pet.PetTests","verifyUpdatePet","Verify update Pet",""
"passed","Mon Apr 17 20:31:35 GMT 2023","Mon Apr 17 20:32:02 GMT 2023","27081","","Home Page","","ui.home.BaseTests","findProperPriceInMac","Verify exist 1 'mac' with proper price",""
"failed","Mon Apr 17 20:31:48 GMT 2023","Mon Apr 17 20:31:49 GMT 2023","260","","[Pet tests]","","core.pet.PetTests","verifyAddPet","Verify create new Pet",""
"passed","Mon Apr 17 20:31:35 GMT 2023","Mon Apr 17 20:32:03 GMT 2023","27948","","Home Page","","ui.home.BaseTests","findPriceByText","Verify MacBook Pro has proper price",""
"failed","Mon Apr 17 20:31:49 GMT 2023","Mon Apr 17 20:31:50 GMT 2023","1400","","[Pet tests]","","core.pet.PetTests","verifyAddMultiplePets","Verify create multiple Pet",""
